key,rankings
282NC0060X,"[(1912979873, 304), (1760452924, 71), (1740239557, 8), (1346209137, 8)]"
275N00000X,"[(1346209137, 8), (1225006703, 71)]"
207X00000X,"[(1942314620, 304), (1386608727, 304), (1801877568, 24), (1376531954, 3), (1730365214, 269), (1952564536, 269), (1982832473, 269), (1508905159, 269), (1881613420, 269), (1003001785, 304), (1740251255, 304)]"
207XX0801X,"[(1942314620, 304)]"
207XX0005X,"[(1376531954, 3), (1730365214, 269), (1982832473, 269)]"
207XS0117X,"[(1952564536, 269)]"
207XS0114X,"[(1982832473, 269)]"
207ZD0900X,"[(1174530612, 269)]"
207N00000X,"[(1013909134, 304), (1043472970, 304), (1053519595, 304), (1083947238, 304), (1225060601, 304), (1245405497, 304), (1275525495, 304), (1285895003, 304), (1346419850, 304), (1407083496, 304), (1437140530, 304), (1437355146, 304), (1437461027, 304), (1487644217, 304), (1508866443, 304), (1528019692, 304), (1538119938, 304), (1548497217, 304), (1598712937, 304), (1598845695, 304), (1598921249, 304), (1609876697, 304), (1629211651, 304), (1639259641, 304), (1689783086, 304), (1699877175, 304), (1699973131, 304), (1760474928, 304), (1760659981, 304), (1770634131, 304), (1811097801, 304), (1932299278, 304), (1942302864, 304), (1962494112, 304), (1003925173, 304), (1891805057, 304), (1811960404, 269), (1003001017, 269), (1194736074, 269), (1497766364, 269), (1093762734, 36)]"
207ND0101X,"[(1689783086, 304), (1932299278, 304)]"
207ND0900X,"[(1003925173, 304)]"
246RH0600X,"[(1043469745, 304)]"
261QR0405X,"[(1164490660, 71)]"
207Y00000X,"[(1194982983, 304), (1245260470, 269), (1356344170, 269), (1306847827, 269), (1780664219, 269), (1497746507, 36)]"
